"","text"
"313.content","Employe here realli take pride in their restaurant. ξThey made sure the dine area was clean and their napkin and ketchup station was stock up and clean. ξWell organ restaurant. ξGreat job!"
"314.content","Breakfast with a view!Ther realli is onli one reason for you to go to a McD on the strip... you'r hungri and/or drunk.A far as McD go, this is a pretti nice one! Clean and modern with a lot of staff work all the time.Thi place has one major perk though, you get to watch peopl misbehav while they'r drunk or on drugs! Seriously, I had a blast!! It start with me arriv while the cop were handcuf a junki on the park lot. The guy was talk to himself and shout insan funni random word at peopl (purpl melon anyone?) And that wasn't all! There was a sweet old ladi insid (who was definit schizophrenic) have a love convers with her other selves. And the guy clean the mensroom was asleep insid a cubicl with the door open! Love it!"
"315.content","Approximately, onli one regist open with 20 drunk peopl in line. The ""pick up here"" take about 15 min to get your food. The slowest McDonald I been to. The din area isn't as clean. One thing, the restaur is veri trendi and has free wifi. It right next order to circus circus.. But, your stuck with a bunch of drunk peopl be veri loud and annoying. Be prepar for it! Restroom was veri dirty!!"
"316.content","BEWARE!!!!! This Mcdonald tow vehicl like nobodi business. Major scam go on at this location!!! My friend ALMOST got their car tow and THEi WERE EATING THERE!!!! They ran out as the ass hole tow guy was lift it. Would not put it down even after we my friend said they were custom here. They haven't eve finish their lunch yet!!!! The ass tow guy want $200 CASH or he was tow it!!! Well, they paid but after get home they contact corpor and got their money back!!! ξMCDONALDS...YOU NEED TO RETHINK WHO YOU HIRE AS YOUR TOW COMPANY. Franchis owner of this Mcdonalds.... you suck for let this happen and pretend you don't know what go on. You hire this tow company!!!!!! THEi ARE SCAMMING INNOCENT CUSTOMERS BIG TIME. ****Anyon have their vehicl tow wrongly, need to contact mcdonald corpor and get their money back! ****"
"317.content","Bewar of this Mcdonalds. You are constant under surveil in the park lot. I park my car, had breakfast, and then had to go drop someth off to a friend. Within 30 min when I got back, they had my car towed. WTF? It like they are prey on peopl cars. It make you never want to go to this McDonald again."
"318.content","Like all other McDonald's, the servic qualiti is go down the tubes. ξMi son was get a drink at the drink station when an older guy in his 60 was mope the floor and told me son to ""move it"" in a veri mean and rude voice.I went to use the restroom and there was two toilets. ξOne had a sign on the door that read ""Out of service."" ξThe other stall door would not make a close connection. ξI realli had to go, but I did not care to have someon walk in on me when I am on the pot. ξI tri slam the door shut, but it would not make a connection. ξI told manag about it, but they seem to busi to care of do anyth about it."
"319.content","They are make this the worst Vega experi tow ξ$300 dollar for 15 minut Whi instead they don't have someon give inform They'r make money attack travel"
"320.content","The onli reason I came back is becaus they gave me free food after the fiasco from last night."
"321.content","fast, ξa littl toooo fast"
"322.content","My wife and I went to this locat after be at Circus Circus at approxim 10pm a Friday night. ξIt was busy, but not chaotic.You place your order at one end of the counter and pick up at the end of the counter.I order a Quarter pounder with chees combo and ask to make it large. ξMi wife simpli order a small drink and a McFlurry. ξWe specif told the girl we were eat in. ξWhen our number was called, our food was in a to go bag. ξI was also onli given one small cup. ξWhen I ask where my larg drink cup was, I was inform that the combo which I paid extra for did not includ a drink????Th ladi was wear a white shirt and spoke veri poor English. ξWhen I show her my receipt where it said I had paid for a larg Combo, she told me I was mistaken. ξI then proceed to go back to the cashier who had rung up my order and ask her what had happened. ξShe inform me that I should have got a Larg cup as well as small cup but the ladi in the white was her Manager. ξI then ask to speak to anoth manager. ξThe cashier then wait until the femal manag went in the back and a male manag came up, apologized, and gave me my Larg cup. ξ????? ξHe agre that I was correct and that the cashier had rung up our order correct but could not give me a reason as to whi the femal manag would not give me a Larg cup."
"323.content","I'm usual veri skeptic of fast food joint altogether, ESPECIALLi McDonald's. But I was surpris at the huge size and grand design of the building. Line were orderly, servic was quick, and our food was unusu fresh and neat. And as always, cheap as can be.Bi far the best McDonald I've been to. There are even TV screen up abov that show aquarium video to keep us entertained."
"324.content","If you stay at the Riviera Hotel across the street, you are probabl go to stop into this McDonald for it Wifi.Thi McDonald will have long line late at night for hungri club goers. Sometim the crazi drunk guest make for some great entertain as you wait for your order. There will be a spars amount of homeless, but they don't seem to bother anyone."
"325.content","We went to McDonald on our way to Circus Circus. I rememb eat at a horribl buffet at Circus Circus and didn't want to go there for breakfast.I would avoid this place on the weekends. It was too chaotic we went on a Saturday morn around 11am. We went a second time on a weekday and the line were more manageable. The worker call your number when your order is ready. However, there need to be a better system. Our number wasn't call and our order was sit on the counter for 10 minutes.Oh well. Cheap breakfast grub."
"326.content","Beware! They rip out foreigners.I visit there last monday night and had the worst Vega experi ever. The stori is simple. I park my car in their lot and had some Subway sandwich at the next door. And got back to the McDonald get some deserts. Just after I left the door. My wife and I got shocked. They tow my car. It happen just in 15 minutes. There a sign saying, ""30 minut park for McDonald customers"" ξI didn't do anyth wrong.At the impound yard, I met other victim from Germany. They'r make money attack travel from outsid US."
"327.content","Sometimes, you HAVE to have your McDonald's. ξEven when you'r in the middl of a culinari Mecca.Appar I'm a sucker for grand open and press releas blown way out of proportion, becaus after read about this new McD locat I made a point to come here dure my vacation.Prob the nicest McDonald I've been to, consid there was an employe constant clean and offer to clear custom trays. ξEducat excerpt from the Discovery, Science, and Travel Channel on various flat screen TVs were a nice touch.W sat in the middl of the restaurant, on bar stool (surprise, surprise...se my Blueberri Hill review) attach to a huge counter...with fresh flowers! ξWe were surround by the typic plastic booth but I did notic that seat area near the restroom offer both club chair (not sure if they were leather or pleather) and a more privat booth section.Not much to say about the food sinc a McNugget here is a McNugget anywhere. ξBut at least I got my quarter McD crave out of the way..."
"328.content","I gotta give a shout out to this McDo!!! Stay at the Encore in Vegas... a bunch of girl loung around in our PJs, lag on get readi to hit up the clubs, we start get hungry, but were press on time. With a list of everyon order in hand, two of my girlfriend and I took a cab in our PJs to the nearest McDonald and order $80 worth of food!!! I thought it was hilari that we bought 90 piec of chicken mcnuggets, lol! The food came out fast and the onli thing miss that we realiz onli after alreadi be back in our hotel was a Vitamin Water... at least no one was miss a meal. So for that, thank McDo!"
"329.content","A nice central McDonald with ampl fountain drink dispens for the visitors. Be awar of your surround here, it attract a few transient people. The WiFi provid by AT&T sometim works, just like their cellular reception, so no surpris there. I'm a frequent visitor here to grab drink & work befor visit hotels. There are quit a few power plug for laptop insid of the building."
"330.content","I am not a fan of fast food. But sometim a girl gotta eat late! I came here after my LONG flight from Honolulu and I was pretti darn hungry. They were out of Southwest salads, but the bacon chicken wasn't bad. The salad was still fresh and the chicken was warm. I would go back if I ever had a late night McCraving!"
"331.content","I should have known better. I can count on one hand the number of time I've been to McDonald in the past ten years. However, my choic were extrem limit so I thought I'd give it anoth shot. This visit was a remind whi I don't come here. It total sucked!1. The staff was unpleasant.2. The fri were room temperature.3. The burger tast vile.4. I have no complaint about the diet Coke.Next time I'll just go hungry."
"332.content","Worst McDonald I've ever been too! We order Mocha Frape, a vanilla latt and 6 cooki and we wait for 15 min and 3 wrong drink after. But they gave us an extra drink becaus of it.."
"333.content","Was told at 5am that burger arent made until 4pm by some chubbi ogr latina.Stay in school kids."
"334.content","So I love McDonald breakfast and we were on our way to the convent center for the Heli-Expo and I order my usual of one bacon egg and chees biscuit, and one bacon egg and chees McGriddl and they were great as usual. ξThe servic was also quick and good. I don't understand the peopl that complain about the servic or food from McDonald what do you realli expect. ξGo somewher els if you want better service, or liter go anywher els but don't complain you know what you are get yourself into. ξAfter we sat down and got our food we notic that one of the huge front window was complet shattered. ξIt actual look realli neat and then we ask what happen they said that someon shot it the night before. ξ The other nice thing about this McDonald is it has free Wi-Fi for all of it customers."
"335.content","Pleas peopl if you are look for a ""fast food"" to eat do not go to this place. 15 minut for a simpl doubl chees burger. Employe work slower then my grandma."
"336.content","I'LL HAVE ONE BREAKFAST MCMUFFIN, HOLD THE GUNFIREIf you'r in Vega for an event at the Convent Center, you'll probabl be up earli enough for breakfast. If you'r not there on work, you might just want to sleep through this part of the day. McDonald breakfast is not sold near long enough. I never make it there on time! How hard would it be to serv egg all day?!! ξIn ani case, this McD is conveni to the convent center.W stop here more than onc on our last Vega trip a coupl month back. On one of the visit while dine in, we notic a bullet hole in the window from the night before. Someon probabl mad about breakfast not be serv all day is my guess.Servic was good. Food was average. The coolest thing about this locat was the deco. It was so modern inside. Clean and cool. I like that."
"337.content","The WORST servic I've encount in a McDonald so far in the continent USA. No, not becaus I dislik the food but becaus the employe here are IRRESPONSIBLE, FORGETFUL, and UNAPOLOGETIC. I overheard from one of my superior that the staff at this particular McDonald ALWAYS screw up order EVERi time they come here. They will charg you for the wrong item, leav out sever items, give Iced Tea instead of Iced coffee. When I was there, I was the first one to order and I order the Skillet Burrito and some OJ. My OJ came out after 3 minut but my food never came out. ALL OF MY co-work order their food and their food came out and they were alreadi seat and have their breakfast while I'm still stand at the counter wait for my burrito for a good 10 minutes. I final lost my patienc and ask the girl who rang me up where my Skillet Burrito was. She simpli say ""Oh, it run out, ""we NO HA-VEH"". I tell her ""So are you go to just stand there and do NOTHING?!?!?!?!?"" That when she ask me ""What do you want???"" You want burrito!?? We onli HA-VEH Sausag and Egg Burrito it ok? I say ""NO, it NOT OK becaus Skillet burrito is MUCH more expens than a Sausag and Egg Burrito!! Just give me two McGriddles...NO!!!!"" And so she did.PURE RETARDED OPERATIONS at this particular McDonalds. Will NEVER return to this McDonald or even McDonald in particular. Onli reason we ate here was becaus we need to grab a super quick breakfast befor head to the convent center."
"338.content","I'm a Mclover, and I had no problemwith the workers. But I have a problem wait more than 30 minut for my cheeseburger. They weren't even busy! This was my first and last time at this location."
"339.content","Cold terribl cardboard on a bun, trashi service, homeless peopl drink 24oz can of Natur Ice insid the place!"
"340.content","This McDonald is locat just a coupl of block from the hotel I stay at in Las Vega - an Embassi Suit Hilton properti - therefor it is within walk distanc (There doe not appear to be mani busi within walk distanc of this hotel).Had a late lunch here around 2:00 pm. ξOrdere the #3 valu meal: Quarter Pounder w/ cheese, medium fri and lemonade.M came up promptly, was hot, not greasy, fri were crisp - all was good!Interest note: in order to use the restroom - you have to let them know at the counter - and then they buzz you in - no physic key. Make me wonder about the status of the surround neighborhood!Ther is also a larg red DVD rental machin in the dine area of this Mickey D's."
"341.content","I agre with Douglas--thi is one of the best McDonald in Las Vegas. ξI stop here for a quick ice cream last night and I was immedi impress with the new and nice design of the place.Th staff took my order quickly, and I was on my way to a tabl veri quickly. ξThe tabl were clean and the restaur was clean. ξI was realli impressed!They have free wifi which is a nice bonus. ξIf I need at break some day and I'm in the area, I'll definit stop again."
"342.content","Truli disgust place."
"343.content","This place sucked! I order a sausag mcmuffin and the cashier was slow in make it. She even forgot the harshbrown that were includ in the meal. Also the ketchup dispens spray everywher and went on my shirt. The most dumbest stupidest mcdonald i'v been to. Avoid this place if u want to eat at a mcdonald restaurant. There are better mcdonald place than this one."
"344.content","Went here to get some cooki for a friend. The drive thru person Lamoni, suck and couldn't tell the differ from coffe to her asshole, also a car broke down in the drive thru."
"345.content","The servic here was terrible. They got my breakfast order wrong three times, each time with the same exact mistake. The morn ξcashier there, dalia, didn't even attempt to move a muscl to get me the right order. Food is just like ani other mcdonalds, servic was the worst. There 50 other you can go to within a mile anyway"
"346.content","One of best McDonald in Vegas, alway veri clean,, great servic ,, close to the Las Vega Strip..."
"347.content","I tri to steer clear of fast food when I can, but sometim they just sound so delici or they are the most conveni to have. For instance, the daughter was hungri and I was in a rush to get readi for an event and this McDonald was across from SLS, which at the day of our visit to McDonald was not open yet and therefor did not have function restaur yet. We went through the drive thru and it was easi and manageable.Thi is a typic McDonald with noth to make them more memor than other locat (in a good or bad way). But if you are stay in the vicin and in need of fast food, do tri them. Their drive thru is also open 24 hour so they are veri conveni if you need calori late at night (which happen a lot in Las Vegas, go figure!). Overall, not a bad McDonald's."
"348.content","Fast food typic just is what it is, but this particular McDonald was awful.Th servic was terrible, ξthe cashier had an attitud not onli with me but pretti much everi custom that came through her line in the 15 minut I wait to get my food (basic big mac & fries, noth special). She forgot to give me my drink and when I ask her for it she tri to give me the size below what I ordered. When I ask for the right size she practic insist I take the smaller one. Then when my order was up and I ask for ketchup, she roll her eye and act like I was make her go so far out of her way to reach under the counter. Then, when I went to the fountain to get my drink, there were small bug fli all around it.Best part was when I got back and ate my food and realiz that my fri were cook in the same fryer the do the fish in. Pretti sure those are suppos to be separate. Threw those out, so end up not need the ketchup anyways. Definit do yourself a favor and go to a differ location."
"349.content","This is the absolut worst McDonald I have ever been to in my entir life! This place was filthy. Near everi empti tabl was litter and in our 30 minut there no one came to clean the dine area. Owner should be asham and manag fired!"
"350.content","Worst servic and food I have ever experienc at McDonald l have ever been to.Complet wrong order. Ignore at counter when tri to get correct and even then wrong order and yet again ignored. You would think they would be sensit on the third time retun to get a complet order. But no. And then ignor the fourth time when ask to get access to the bathroom."
"351.content","Worst servic I have ever experienced. I know what can I expect come from a fast food but still. First at drive thru I ask for sauc and he gave them to me with no hesitation. He drop a sauc and I ask for anoth one, and he repli with a smart attitud ""I'm suppos to charg you for these but I'm not and you still want more?"" ... If I was go to be charg I would have like for him to tell me from the beginning. I have no problem pay for sauc I'm go to use. Besid bad peopl skill I got my order wrong.... Not once, not twice... But 4 times. And on the 4th time It was still wrong, but I was beyond over it!"
"352.content","I was crave a chocol milkshake, a few day ago so this was the nearest mcdonald that was in my travel route. I decid to go thru drive thru and full fill my cravings. I also got nugget and fries.....now here is the worst. My fri were OLD not even recook old they were old as in they sat there for more than an hour they tast like yesterday fri . Chewy, bland, rough , cold and disgusting. My nugget were old and my milkshak gave me, the worst stomach ache. May I add the cashier or mgr shirt was filthi at the bottom . Like she was wash dish and clean the grill or broiler, whatev it is they have. Then she was handl the food ......yuck! Clean your cloth ! I felt like it was run by homeless peopl and the manag in charg of this restaraunt is not follow mcdonald standard ..Ive had better."
"353.content","extrem terribl service. They couldn't get my order right the first time, like serious how hard is it to get a coupl sandwich right!!"
"354.content","Worst McDonald ever...tweek ""spare changing"" freely, some ladi threaten to beat anoth ladi ass, follow her around yelling, dirti drink area, etc. The build look good, as the onli good point. I'll never return to this locat if I can avoid it!"
"355.content","Grab quick breakfast ...servic was slow and the dine room was fill with the joy abund of homeless and just crazi peopl of Las Vegas.A said befor coffe was warm at best, my egg McMuffin without Sausag was cold and greasy!"
"356.content","So I'm not usual one to fuss, pretti laid back so if someth bother me then well....bravo. This mcdonald isn't in the greatest area, I can't fault the employe for that. I can expect that they get some shadi charact and they sometim you have to handl them a littl bit more aggressively. Like tonight, custom caus a minor disturb and was rude, and the girl which appear to be a manag of some sort was behind the counter and got upset (natur of course) she went and handl the customer. Wait for him to come out of the bathroom just wait there while custom includ myself were in line. Ok I get it, go handl the customer, go on with your bad self and handl the shituation. Yes I said shit-u-ation. I get it, go handl the stupid idiot. But when there a line of custom wait for servic you would think you would get someon to cover you instead us wait 5 minut or ATLEAST a simpl apolog say ""I'm sorri I'll be right with you"" instead she was curs and mumbl under her breath. OH and she proceed to follow him outside, let it go! He left! So anoth employe final start take order onli after tell me she was alreadi clock out! Unprofessional. Like come on handl the idiot but don't act like one. Rant over. Oh....and my fri are good."
"357.content","This is the ONLi fast food restaur (this specif location) in the histori of fast food restaurants, that has deliv a grill chicken sandwich that actual look like the item on the menu, instead of a smash piec of babi food. Amazing. It McDonald so... eh, it okay, not my favorite. But yeah, 3 star for deliv a product that look like the advertisement."
"358.content","Mix up order: forgot fries. ξCrispi chicken instead of grilled. ξPut mayo in sandwich when ask for it on the side.Cash onli for drive through but accept credit when dine in..."
"359.content","I left the Hilton late last night and I was realli thirsty. ξThis was an easi in/out option for me from Sahara. ξI did the drive through and was on my way with a Diet Coke in about 2 minutes.Thi is one of the remain earli style McDonald outlet and there a classic Chevrolet parallel to the drive through where you can take photos.Look through the windows, I could see the interior is also the classic design. ξI'll have to go back and sit inside. ξDo I see a Shamrock shake in my near future?"
"360.content","Out of the thousand of restaur in Vegas, I had to pick a McDonalds...Well, it a cheap eat. Its right across the Sahara Hotel and it design is like one of those classic type McDonald back in the 50s, just like Scott D. said below. There is noth special about it. I had gone through the drive-thru at 11:30pm. I was a littl scare sinc there was peopl play music loud and just hang around suspiciously. I had to wait 5-7 minut for the ladi to get back to me on the speaker. It wasn't even crowd inside.Anyways, I order 2 McDoubl ($1 each), 2 Hot N' Spici ($1 each), 2 Bottl Water ($1 each), and 2 Apple Pie (2 for $1), and a Larg Iced Tea ($1 each no matter of the size or type of drink). My total was $9.50.Noth special about this place besid the classic car who probabl has been wait for servic sinc forever. Oh well, what can you do in the citi of sin?!Hav Fun here and Keep Yelping!!"
"361.content","1st to Review-How can this be? A CLASSIC McDonald @offthestrip at Paradis Rd/Sahara Ave behind the Sahara Casino!Coolest thing about this locat is their collect of McDonald Happi Meal Toy and the 50 style look & feel.They have a 50 Chevi out front for take photos.Unfortun the same boring,tasteless food."
"362.content","Food is good as always. Cool design outsid and singl golden arch make this a cool spot to hit up after the club or gambl on the strip."
"363.content","Wow, this place was so good after the night was over! There is alway so much walk on the strip and be in club attir and dress boot I was so happi to sit on their un-cushion seat and eat my big mac and fries.Servic was quick and food was typic Mcdonald's.Air condit and yummy. Most satisfi Mc D I've had!"
"364.content","I would never usual review a McDonalds, but here whi this place rules:1) $5 for a 20 pack of Chicken McNugget at 3am. When everyth els in the food court was closed, we had this trusti option which end up be our ""go to"". I couldn't imagin how extra hungov I would'v been each morn without this grease.2) An altern to overpr breakfast at the buffet at the hotel.3) A quick way of grab someth for less than $5 when not need a full meal dure the day.5 star for that!"
"365.content","I cannot give a 4 or 5 star rate for ani junk food place such as McDonald's. Their food is not fresh, but frozen so realli the onli rating, asid from food, is the cleanliness, staff etc.Thi place is pack and understaffed. It was about midnight and I could see 2 peopl work behind the counter make the food. The manag was do her best to keep the food come out of the kitchen, but clear was short handed. Napkin were empty, and floor were sticky.Th food even tast wors by McDonald standards. Just not a good experience.I come to McDonald for emerg only."
"366.content","I was thirsti and decid to get a drink. ξMcDonald is the best place to get someth cheap, especi when you'r on the strip."
"367.content","I need a quick breakfast befor catch my flight back to new york. This McDonald was locat insid my hotel in the food court section. I order my orang juice, sausag biscuit, some pancak and on my way I went. ξIt was a bit of a wait but my order was complet and the food was ok."
"368.content","No Hot Mustard :("
"369.content","Was a busi day, I didn't have time for a healthi lunch. I saw a Mcdonald so I decid what the heck, im in a hurri and I m kind of hungry. My order took forever, I didn't go thru the drive thru as I don't trust them, my fri were medium warm as was my burger, I didn't have time to wait for anoth order so I left, I was dissatisfi with my order but it was a Mcdonald after all."
"370.content","Just an unpleas experience. I live here in Las Vega and will often take famili to the Strip when they come to town. We were look for a late night bite to eat and decid on McDonald sinc it was right in the hotel. The server were incred rude. My aunt had onli ask if they were serv smoothi and the girl behind the regist roll her eye and respond with an attitude. After receiv our food, I had ask anoth employe where I could find straws. She intent ignor me upon my first attempt to get her attention. When she final turn around after talk to her friend, she act as if I was burden her.Mayb I'm expect too much from a fast food place on the Strip, but I feel that if you are work in custom service, you should be provid custom service, not act as if you are still in high school and hang onto that angsti teenag we all have insid us."
"371.content","The oatmeal was good. The fruit was crisp and the raisin plump. The sweet tea was fresh."
"372.content","I work in the area and have eaten here sever times. I can attest to the fact that this is one of the worst McDonald to eat at.You can at least be sure of consist service. Consist lousy. Consist noisi and consist dirty.On eat here as a last resort"
"373.content","This is by far the worst servic I have ever had in ani fast food restaurant.Now I understand that work fast food isn't easy, but have a burger toss at me was the end of the line. Enough said, so upset that I toss right back at the rude ass ladi behind the counter. If you can wait a coupl more feet, there are way more option than this pile of dump. The onli thing wors than have to walk through the Excalibur, is walk by that stink hole."
"374.content","On Christ almighti here it goes. If I am go to eat overpr McDonald in a casino I better get what the hell I want to eat. This place is so piti just think about it make me angry. I don't even know where to start! Besid Starbuck and Krispi Kreme this is your onli option for late night eat at The Excalibur. Here it goes:Visit #1: Fool me once...sham on you.Mi husband and I head to the room earli our first night in Vega becaus we were tire after a long drive. After watch some TV my husband said he want a littl someth from our local McDonalds. I was not realli hungri but I was crave a littl someth sweet so I ask him to get me a McFlurri and to call me and tell me what kind they have. He call and they have Oreo, M&M, and Butterfinger. YUM! I want Butterfing I exclaimed! He hang up and call back about a minut later to break the news to me that they are out of Butterfinger. That would'v been use info to have when he first asked! So I end up with Oreo. He come back and I take a bite of my McFlurry. For those who may not know a McFlurri is soft serv icecream mix with whatev top you get. How do you possibl mess that up? Mess up a McFlurri is equal to the stupid of burn cornflakes! There is no excuse. I took one bite and threw it away. The icecream was warm and the oreo chuck were stale. NASTY! My husband burger and fri turn out ok at least. Visit #2: Fool me twice....sham on me. After some late night gambl I was hungri and did not feel like search for late night eat so I ventur into this hell hole again. I figur sinc I was get regular food this time it would be ok. The custom servic of this place is atrocious. You are pretti much the onli 24 hour oper that offer more than donut and coffe so chang your attitude. My husband had a sweet tooth this time and want a McFlurry. Dun Dun Dun! I order my food and ask for a Oreo McFlurri and the guy behind the counter proceed to tell me that the icecream machin is locked. Excuse me? WTF? I call my hubbi and tell him and he is most displeased. After two minut of straight ξcurs he ask for chocol chip cookies, they have none. The onli had oatmeal raisin which I can onli describ is the asshol of cookies. So liter they have no good desserts. So my poor babi goe without what he wants. We are not doughnut fan so Krispi Kreme is not realli appealing. After that I was done with that place for good!If you are ok with McDonald go to the one at The Luxor. You will probabl get better service. We should've. ξIf you want someth better ventur into NYNi into America cafe which is open 24 hour and for the same price you can get some decent food and service."
"375.content","This is a lousi McDonalds. So slow. So surly. Once you final get the food it doesn't even seem to matter anymore."
"376.content","Horribl service!! Not friend at all. I ask for a coupl of sauces, they told me I would have to pay 52 cents! What happen to custom service? Worst mcdonald I have been too. Cheesi move on their part. Give them one star is be generous"
"377.content","This place is a joke! It disgust enough of a fact that the onli thing to eat at Excalibur between the hour of 0200 and 0600 is McDonald's, Starbucks, and Krispi Kreme. But then, to be forc to go to McDonald and find this piti excus of an establish instead.... for shame. The first night they ran out of Butterfing top for a McFlurry. The second night, they claim their ice cream machin was ""locked."" Not broken.... but locked. WTF is that?!?! If you are the onli late night eateri available, you better have all your menu item avail becaus I have a bit of a sweet tooth. This place is a joke... do yourself a favor and walk across the footbridg to New York New York and eat at America, their late night cafe."
"378.content","The McDonald chronicles.Hooray for free refills.I just want a bite to eat, make my daughter happy. not spend a lot of money, and drink as much soda as I can quench my thirst is the dri air. ξThe McDonald doesn't charg that much of a premium. ξThe place is clean and is a good, afford rest befor put the feet down back on the strip concrete."
"379.content","This McDonald is locat insid the Excalibur hotel and was one of the worst experi I've ever had at a Mickey D's. We want a quick breakfast at around 9:30 a.m., so my friend decid to grab some for us to bring back to the room befor head out for the day. He end up wait over 30 minut in line to get 2 egg Mcmuffin and coffee, and I had to wander out of the room to see what the hold up was. There was also no dollar menu avail when we were there, so we end up pay the $3 for a greasi sandwich. By the time we got the food back to the room it was cold, but at least the coffe stay warm."
"380.content","This McD wasn't too bad. Not too busi when we went to grab some late breakfast. You can't beat the dollar menu either. $1 salad from there is nutrit equival to eat someth from Quizno (which my friend had in the food court and hated) at a fraction of the price."
"381.content","Yes, this is a McDonald's...Yes, McDonald hasn't been all that ever sinc they got rid of their Angus Delux and Premium Chicken sandwiches... I've tri the Quarter Pounder...no mayo, no cheese... and it just not the same. Although, the food here is better than at ani other McDonald locat that I've tried.But it not the food that give this locat four stars. Dure the summer months, it turn into a sober up/hook up spot for drunk, half naked, female, Ditch Friday patrons... It the best eye candi you'll find at a Micki D's."
"382.content","This is probabl the worst McDonald ever.. They don't know what they'r do at all! Ice cream machin is alway ""broken"", custom alway waiting, food alway take forev even with 3+ peopl in the kitchen... I don't understand whi they'r still open."
"383.content","Nasti ass restaurant. Burnt ass chicken nugget and the dumbass work didn't want to give me new ones."
"384.content","Just left here. Screw up my order 3 times. When I was the onli custom there and then give me attitud becaus I kept return with wrong items. You work at McDonald's. You punch a button and you read the screen . Yet you still manag to screw up a b-fast sand which lol.. 3 times. The art of fast food baffl me. Total make me lose hope in humanity. We actual left threw the McDonald out and ξwent to Burger King and they screw up there too but just once... Still hungry."
"385.content","Couldn't get a chocolate-dip cone becaus they shut off the ice cream machin at midnight. WTF?!"
"386.content","This is for the McDs insid the Palm Food Lobby. 50 Chicken Nugget for 10 dollars. That all you need to know. Six Stars."
"387.content","I had onli eaten at 1 McD previous in my life but Zak R got me to tri the hash brown here and I have to admit they are delicious. Cinnamon bun were no Cinnabun but surpris fluffi and yummy."
"388.content","bleh-bad mcdonald food.slow service.and never get order right. ever."
"389.content","I'm definit a fan of this McDonald tuck on the side of a Terribl gas station and conveni store. ξBefor it gone, I had to get one of their season egg nog shakes.I drove here from Walli World and park direct in front of the door. ξThere were a few peopl at the drive through and a few insid the McDonald itself.Th counter person came quick and took my order. ξI paid and stood asid while she made the shake. ξIt was quick given to me and it was good. ξOne of my few (that a joke) bad holiday habits.I was soon on my way happili sip this sweet good and alreadi plot to stop for just one more befor they'r gone."
"390.content","Idiot at the counter forc me to buy a quarter pounder with chees becaus he didn't understand what ""buy one get one ANi larg sandwich"" meant. - and the pictur happen to show a pic of a quarter pounder. Yet also say valid for product of equal or lesser value...so twice exhibit that you can buy ani larg sandwich and get one free. See pictur attach to review.1 star"
"391.content","Stop in in the earli morn hour know full well I would need some serious calori for the hour ahead. ξI walk throughout he Terribl Herbst (TH) which this locat is connect to. ξNo line inside, I was told someon would be with me shortly. I waited, and wait some more. ξI made eye contact with the ""white shirt,"" ξI believ this was the HMFIC becaus they were dress differ then everyon else. ξThe HMFIC fail to smile back. ξI went into HM (Hater Mode) and walk out. ξI made my purchas at TH and punch out. ξI reevalu my time line for the morn and decided....I need calories. ξI roll into the drive-thru and made my purchas quick and efficiently. ξThe chow was exact as McD does....A-OK."
"392.content","I'm drunk, I come here and order a hot and spici ( sub The mannais ξwith Mac sauce) and 2 breakfast burritos. Tell me whi I didn't get ani hot and spicy??? What the fudge???"
"393.content","Worst McDonald I have ever been to. I never write bad review but I have to let this one out. I keep come back becaus it the closest to me and I've been hope that eventu they will get my order right, but I've gotten to the point where I would drive 10 mile for a better service. I had to drive back three time for one order one night, the drive thru take forever, the staff never take the right order and the food is alway hit or miss. It pretti ridiculous. I don't expect 5 star servic from McDonald but damn this place has driven me CRAZY!!! Good luck all."
"394.content","Quarter pounder was realli dri and bun was like a cardboard. Had to wait for worker to stop play around in the back so someon could refil our sweet tea becaus they we out at the refil station. Onli gave it one star becaus the place was clean."
"395.content","This place is infam for have a rude cashier and not have thing in stock. Complaint to manag here go on deaf ears. I go out of my way to go to the one on Durango caus of so mani bad experi here- this locat realli give the brand a bad name!"
"396.content","I love McDonald's... Duh but I'm eat my mcchicken and the bun is hard which usual happen after 9pm anyways! Oh well I also order Big Mac and 20 pc. Chicken nugget... When we got to the window I ask for various sauc includ an ""Asian sauce"" but the guy at the window took total offens and cop an attitud with me. He ask if I meant sweet chili sauce?? I felt like I may have upset him for some reason (but we are all ppl and I wouldn't have been insult if he ask me for white sauce!! LoL) so I said sorri and that I meant the Kung pao sauce. But he said that didn't exist and was a dick! I'm glad I didn't ask for gay sauce. Ha! Dude come on. Ppl r ppl. It is what it is!!"
"397.content","No milk for the coffee. Onli cream. No wonder everyon is fat. Get my coffee, and it half full. Awesome. All in all, all Micki D in Vega suck.On a side note, the new oatmeal is pretti damn good."
"398.content","HOW SAD! If you yelper don't give Mcdonald 5 star you are on crack this place is God gift to the world! Long live the Big Mac!"
